attempt,success,complex idx,complex name,note,ligand names,ligand stoichiometries,ligand charges,batch idx,batch name,metal,oxi state,spin,topology,similarity,total charge,optimization,isomers,random seed
493,False,,,clashing ligands,"('unq_CSD-QOKRIR-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C17H22N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
494,True,146.0,IJEGAVUF_PN_Ni,no optimization,"('unq_CSD-JIZWAR-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C22H26N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
495,True,147.0,ENATEJEB_PN_Ni,no optimization,"('unq_CSD-JIZWAR-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C22H26N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
496,True,148.0,NUVETEVU_PN_Ni,no optimization,"('unq_CSD-KABDAT-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C24H27N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
497,True,149.0,TEZUZEZA_PN_Ni,no optimization,"('unq_CSD-KABDAT-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C24H27N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
498,False,,,clashing ligands,"('unq_CSD-KAGDUT-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C24H19N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
499,True,150.0,YICONUDE_PN_Ni,no optimization,"('unq_CSD-KAGDUT-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C24H19N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
500,False,,,clashing ligands,"('unq_CSD-KAHXEX-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C28H26N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
501,False,,,clashing ligands,"('unq_CSD-KAHXEX-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C28H26N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
502,False,,,clashing ligands,"('unq_CSD-KAHXOH-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C32H34N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
