metal,dist_P,dist_N,dist_Br,dist_C,complex,P_N_bite_angle,homo,lumo,hlgap,metal_charge,dir
Pd,2.4089024132993275,2.119744221753558,2.4469729970905734,2.0123178858938298,PUQENABA_PN_Pd,78.98516160825702,-7.206810294178195,0.12556209948953237,7.332372393667727,-0.287736247,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/PUQENABA_PN_Pd
Pd,2.2661012532547944,2.310652222164202,2.510159042497314,1.9900027880151039,ROVOFIDA_PN_Pd,79.26442438790492,-7.140670737057826,1.0317590907465488,8.172429827804375,-0.483220212,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ROVOFIDA_PN_Pd
Pd,2.2466208692426295,2.3410551836992295,2.4962099954038943,1.98862854654011,IWITEFOS_PN_Pd,83.17608353021221,-7.620150906551076,0.416871344005887,8.037022250556962,-0.336673341,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/IWITEFOS_PN_Pd
Pd,2.2870753033622204,2.25331704191131,2.4860146245948,1.9868323586467866,HORUFATU_PN_Pd,78.47257854236653,-7.345899356852931,0.1344710160688763,7.480370372921808,-0.433358737,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/HORUFATU_PN_Pd
Pd,2.4150107088264523,2.2588292253346136,2.45438498247301,2.007514156749917,UVOKUHAC_PN_Pd,91.05336370556036,-7.418113610783247,0.6479108632177628,8.06602447400101,-0.304960132,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UVOKUHAC_PN_Pd
Pd,2.3049606761804444,2.3315176514195586,2.4759552346115146,1.9773969078024791,DELIYAXA_PN_Pd,79.03446833740279,-7.424215029173315,-0.6737358526897118,6.750479176483603,-0.42663274,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/DELIYAXA_PN_Pd
Pd,2.2814626534206055,2.393172943125234,2.4749118877405603,1.9776235359077636,VUZILICI_PN_Pd,82.21099394813533,-7.43103422947823,0.5308844269090067,7.961918656387237,-0.392159896,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/VUZILICI_PN_Pd
Pd,2.3066693346111444,2.2513824095287838,2.4870205661689218,1.9963015367760724,UYUKEQIP_PN_Pd,80.9911114477584,-7.542574513139732,0.3768320222383861,7.919406535378117,-0.404160424,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UYUKEQIP_PN_Pd
Pd,2.2590868432107882,2.267219214542233,2.478162011707506,1.9901359007344213,KATUPOYU_PN_Pd,80.93363998637214,-7.678808693351946,-0.6927102453606752,6.986098447991271,-0.392217361,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/KATUPOYU_PN_Pd
Pd,2.324950434864623,2.2151182335326425,2.49927166743408,1.9996031280541153,ILIZANIX_PN_Pd,97.47574973554867,-7.120685770690015,0.2645799091525154,7.38526567984253,-0.498126874,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ILIZANIX_PN_Pd
Pd,2.270934440379969,2.2546552981218917,2.488349463588898,1.9899946774817516,ADUSAPIW_PN_Pd,79.91316555282596,-7.533005792855208,0.28759960210835106,7.820605394963559,-0.374241535,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ADUSAPIW_PN_Pd
Pd,2.262955808267895,2.22889736979465,2.4733128480595985,2.000568936227043,EYUKIWEQ_PN_Pd,88.54021824847084,-7.436397947219589,-0.10113677604389545,7.335261171175694,-0.478697752,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/EYUKIWEQ_PN_Pd
Pd,2.406007819881393,2.1538958846412743,2.442452687280285,2.0024640388712887,PAWAVICE_PN_Pd,82.90797561012641,-7.32300013278042,-0.57543453643803,6.74756559634239,-0.315654932,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/PAWAVICE_PN_Pd
