Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
unq_CSD-FAPCEH-01-b,C27H22N2O2,1,0,C,53,406.485,0.07716064,FALSE,FALSE,11.76087767,2.041809124,055b096456ae03cb53aa930bc0956cee,1,FAPCEH,Pd(1)
unq_CSD-FAPDEG-03-a,C18H25N3,3,0,N-N-N,46,283.419,0.125892168,FALSE,TRUE,13.31734908,2.107943742,8ca8d580a67846ef94a7ea525eb69ea4,1,FAPDEG,Cr(1)
unq_CSD-FAPDIK-03-a,C17H23N3,3,0,N-N-N,43,269.392,0.1021871,FALSE,TRUE,11.08148626,2.132868989,d0b54a8c02a620b16f5b16f49f5a5dbb,1,FAPDIK,Cr(1)
unq_CSD-FAPDIL-03-a,C26H38N5O1,3,-1,O-N-N,70,436.624,0.087933819,FALSE,TRUE,13.62101731,2.083349868,1bd0e63cb1f960ed98e87f465f28d21c,3,"FAPDIL, FAPDOR, FAPDOR",Zn(3)
unq_CSD-FAPDOQ-03-a,C20H29N3,3,0,N-N-N,52,311.473,0.081356349,FALSE,TRUE,11.90000095,2.151339568,c09e2e1fae43f982dfe6652785fbcb3e,1,FAPDOQ,Cr(1)
unq_CSD-FAPHAF-02-b,C5H7O2,2,-1,O-C,14,99.109,0.38988686,FALSE,TRUE,7.247354889,2.159199613,59a4e267fb58e90beeda485adf2a2e77,1,FAPHAF,Mo(1)
unq_CSD-FAPJIR-02-a,C29H36N4,2,0,C-C,69,440.635,0.088894344,FALSE,FALSE,12.88418114,1.896473097,07c4bb7476f6dd29b6ce8bcc0d01a57b,2,"FAPJIR, FAPJIR",Ni(2)
unq_CSD-FAPJUE-02-a,C32H44N3,2,-1,N-C,79,470.725,0.055947197,FALSE,TRUE,13.07429437,2.080363046,729bdc239c08dd8e0e9f2044b0dabb25,1,FAPJUE,Pd(1)
unq_CSD-FAPKIT-01-a,C4H12Cl1P1Si1,1,0,P,19,154.648762,0.158475405,FALSE,TRUE,5.882625881,2.281429267,576688cfbec830a21a55b92c3c8b1f2c,1,FAPKIT,Ru(1)
unq_CSD-FAPMUG-03-a,C21H15N5,3,0,N-N-C,41,337.386,0.1407071,FALSE,TRUE,12.36052139,2.046763992,023946c468af3b81848c746598afcec5,10,"FAPMUG, FAPNER, FAPNOB, FAPNUH, FAPPAP, ... (5 more)","Ru(5), Ni(2), Co(2), Pt(1)"
unq_CSD-FAPNIB-06-a,C18H12B1F1N6O3P1,6,-1,N-N-N-N-N-N,42,421.1151652,0.066249803,FALSE,TRUE,9.289688237,2.036765615,cf625a06732ec1472fac7bde48c3f4d0,2,"FAPNIB, FAXPZN","Ni(1), Zn(1)"
unq_CSD-FAPSOH-02-a,C15H21N3,2,0,N-C,39,243.354,0.141723025,FALSE,TRUE,12.34700447,2.009772944,bd4ad1bc8114a6b45e2021df9681e1bc,1,FAPSOH,Pt(1)
unq_CSD-FAPVIE-02-a,C7H12,2,0,C-C,19,96.173,0.188398844,TRUE,TRUE,6.318043138,2.161218594,a63e27dcf0cad6d01440266a39bf4b11,1,FAPVIE,Pt(1)
